Surname,Awards,Education,DBLP Info
Bachman,3,"Charles Bachman was born in Manhattan, Kansas, in 1924, where his father, Charles Bachman Jr., was the head football coach at Kansas State College. He attended high school in East Lansing, Michigan, where his father served as head football coach at Michigan State College from 1933–1946. In World War II he joined the United States Army and spent March 1944 through February 1946 in the South West Pacific Theater serving in the Anti-Aircraft Artillery Corps in New Guinea, Australia, and the Philippine Islands. There he was first exposed to and",38
Backhouse,0,"Backhouse was born and raised in the Thorntree district of Middlesbrough, an industrial town in the north-east of England. In 1959, he won a place at the then all-male Acklam Hall Grammar School before going on to Churchill College, Cambridge, in 1966. His doctorate (Ph.D.) was completed under the supervision of Jim Cunningham at Imperial College London.",71
Bader,11,"Bader is the son of chemistry professor Morris Bader and his wife Karen.[27] He is an Eagle Scout in the Boy Scouts of America, earning the rank in 1985.[28] Bader graduated from Liberty High School in Bethlehem, Pennsylvania in 1987.[29] He received a B.S. in computer engineering in 1990 and an M.S. in electrical engineering in 1991 from Lehigh University in Bethlehem, Pennsylvania.[30] He then received a Ph.D. in electrical engineering in 1996 from the University of Maryland, College Park. While at UMD in 1992, Bader was awarded a NASA",275
Barr,0,"Barr was born in New York City and grew up in Summit, New Jersey,[13] where he graduated from Summit High School in 1958.[14][15] Growing up, he was inspired by the biographies of Ben Franklin, Marconi, Alexander Graham Bell, Wright Brothers, and Sikorsky as well as visits to the Franklin Institute in Philadelphia and the Museum of Natural History in New York City. In 2021, Barr and his wife Olga donated $1M to the Cade Museum for Creativity and Invention to support the museum's youth programming.[16]",0
Bartik,2,"Born Betty Jean Jennings in Gentry County, Missouri in 1924,[2] she was the sixth of seven children. Her father, William Smith Jennings (1893–1971) was from Alanthus Grove, where he was a schoolteacher as well as a farmer. Her mother, Lula May Spainhower (1887–1988) was from Alanthus. Jennings had three older brothers, William (January 10, 1915) Robert (March 15, 1918); and Raymond (January 23, 1922); two older sisters, Emma (August 11, 1916) and Lulu (August 22, 1919), and one younger sister, Mable (December 15, 1928).[3][4][5] In her childhood, she would ride",0
Barto,2,"Barto received his B.S. with distinction in mathematics from the University of Michigan in 1970, after having initially majored in naval architecture and engineering. After reading work by Michael Arbib and McCulloch and Pitts he became interested in using computers and mathematics to model the brain, and five years later was awarded a Ph.D. in computer science for a thesis on cellular automata.[2]",107
Bell,3,"Gordon Bell was born in Kirksville, Missouri. He grew up helping with the family business, Bell Electric, repairing appliances and wiring homes.[1][2] [3] Bell received a BS (1956), and MS (1957) in electrical engineering from MIT. He then went to the New South Wales University of Technology (now UNSW) in Australia on a Fulbright Scholarship in 1957-58, where he taught classes on computer design, programmed one of the first computers to arrive in Australia (called UTECOM, an English Electric DEUCE), and published his first academic paper. Returning to the US,",76
Berdichevsky,0,"She was born Mirjam Tuwjasz[2] on 30 March 1925 in Vidzy, at that time part of Poland, now Belarus. Because of growing hostilities toward the Jewish community,[3] first her father and then her mother Hoda[2] and her emigrated to Argentina when she was four years old, where she adopted the name Cecilia, and she spent her childhood years in Avellaneda, south of the Buenos Aires suburbs. Her father died within a few years of arriving in their new home and her mother remarried a rich man.[3] Cecilia married Mario Berdichevsky,",1
Bernus,0,"Peter Bernus graduated from Budapest Technical University as an engineer in electronic technology in 1976. He started working at the Mechanical Engineering Automation Division Computer and Automation Institute of the Hungarian Academy of Sciences. In 1990 he became a research officer at the Computer Science Department of the University of Queensland in Australia. He is currently an associate professor at Griffith University teaching in the Masters of Enterprise Architecture program. Since 1976 he worked internationally on various aspects of enterprise integration as researcher, consultant and project leader for Industry, Government",71
Bezos,0,"Jeffrey Preston Jorgensen was born on January 12, 1964, in Albuquerque, New Mexico,[7] as the son of Jacklyn (née Gise) and Ted Jorgensen.[8] At the time of Jeff's birth, his mother was a 17-year-old high-school student and his father was 19-years-old.[9] Jorgensen was a Danish American unicyclist[10] born in Chicago to a family of Baptists.[11] After completing high school despite challenging conditions, Jacklyn attended night school, bringing her baby with her.[12] Jeff attended a Montessori school in Albuquerque when he was 2-years-old.[13] Ted Jorgensen drank and struggled financially.[14] Jacklyn left",0
Blaauw,0,"Born in The Hague, Netherlands, Blaauw received his BA from the Delft University of Technology in 1946. In 1947, Blaauw won an exclusive scholarship funded by IBM Chief Executive Officer Thomas J. Watson. After an initial year at Lafayette College in Pennsylvania, Blaauw studied at Harvard University. He received his MA in 1949 and his PhD in 1952 under supervision of Howard Aiken, inventor of the early Mark I computer. At Harvard, he worked on design of the Mark III and Mark IV computers. Blaauw met Fred Brooks while he",12
Black,0,"Sue Black was born in 1962 in Fareham, Hampshire.[7] She left school and home at 16, the earliest legal age. She married at 20 and soon had three children.[8] After her husband forced Black and her children out, she sought safety at a local women's refuge. She began a maths access course at night school that led to enrolling in undergraduate degree.[9] Black graduated with a bachelor's degree in computing from London South Bank University[10] in 1993, and obtained her PhD in software engineering[11] in 2001[12][13] for research on the",31
Blum,4,"Blum was born to a Jewish family in New York City, where her mother was a science teacher.[3] They moved to Venezuela when Blum was nine. After graduating from her Venezuelan high school at age 16, she studied architecture at Carnegie Institute of Technology (now Carnegie Mellon University) beginning in 1959.[4][5] With the assistance of Alan Perlis, she shifted fields to mathematics in 1960.[6] She married Manuel Blum, then a student at the Massachusetts Institute of Technology, and transferred in 1961 to Simmons College, a private women's liberal arts college",23
Blum,1,"Blum was born to a Jewish family in Venezuela.[9] Blum was educated at MIT, where he received his bachelor's degree and his master's degree in electrical engineering in 1959 and 1961 respectively, and his Ph.D. in mathematics in 1964 supervised by Marvin Minsky.[1][7]",84
Boehm,0,"Boehm was born on May 16, 1935.[4] He received a BA in mathematics from Harvard University in 1957, and an MS in 1961, and PhD from UCLA in 1964, both in mathematics as well. He also received honorary Sc.D. in Computer Science from the U. of Massachusetts in 2000 and in Software Engineering from the Chinese Academy of Sciences in 2011.[5] In 1955 he started working as a programmer-analyst at General Dynamics. In 1959 he switched to the RAND Corporation, where he was head of the Information Sciences Department until",382
Booch,2,"Booch earned his bachelor's degree in 1977 from the United States Air Force Academy and a master's degree in electrical engineering in 1979 from the University of California, Santa Barbara.[8]",129
Booth,0,"Kathleen Britten was born in Stourbridge, Worcestershire, England,[2] on 9 July 1922.[3][4] She obtained a BSc in mathematics from the University of London in 1944 and went on to get a PhD in Applied Mathematics in 1950. She married her colleague Andrew Donald Booth in 1950 and had two children.[5]",1
Borg,0,"Borg was born Anita Borg Naffz in Chicago, Illinois. She grew up in Palatine, Illinois; Kaneohe, Hawaii; and Mukilteo, Washington.[3] Borg got her first programming job in 1969. Although she loved math while growing up, she did not originally intend to go into computer science and taught herself how to program while working at a small insurance company.[4] She was awarded a PhD in Computer Science by New York University in 1981 for research investigating the synchronization efficiency of operating systems supervised by Robert Dewar and Gerald Belpaire.[1] She died",16
Bowen,2,"Bowen was born in Oxford, the son of Humphry Bowen,[6] and was educated at the Dragon School, Bryanston School, prior to his matriculation at University College, Oxford (Oxford University) where he received the MA degree in Engineering Science.[6]",1
Bourne,3,"Bourne has a Bachelor of Science (BSc) degree in mathematics from King's College London, England. He has a Diploma in Computer Science and a Doctor of Philosophy (Ph.D.) in mathematics from Trinity College, Cambridge. Subsequently, he worked on an ALGOL 68 compiler at the University of Cambridge Computer Laboratory (see ALGOL 68C). He also worked on CAMAL, a system for algebraic manipulation used for lunar theory calculations.[2] After the University of Cambridge, Bourne spent nine years at Bell Labs with the Seventh Edition Unix team.[3] Besides the Bourne shell, he",9
Bouwman,0,"Bouwman obtained his MA in political science at the VU University Amsterdam in 1979, his PhD at Radboud University Nijmegen, Faculty of Social Science in 1986,[3] and a degree in computer science at the Open University in the Netherlands in 1992.[4] Bouwman started his career as assistant professor at the University of Amsterdam in 1985. From 1996 to 1998 he was senior consultant at the Netherlands Organisation for Applied Scientific Research, and associate professor in mass communication and communication management at the University Utrecht from 1996 to 1999. Since 1998",125
Brandenburg,1,"Brandenburg received a Dipl. Ing. degree from Erlangen University in Electrical Engineering (1980) as well as a Dipl. Math. degree in Mathematics (1982). In 1989, he obtained his PhD from the Friedrich-Alexander University Erlangen-Nuremberg in Electrical Engineering for his work on digital audio coding and perceptual measurement techniques. Brandenburg's PhD advisor was Professor Dieter Seitzer, an expert in psychoacoustics. In the early 1980s, Seitzer had a pet project that he called a ""digital jukebox."" He envisioned a system where people could connect to a central server and hear music on",25
Brassard,3,"Brassard received a Ph.D. in Computer Science from Cornell University in 1979, working in the field of cryptography with John Hopcroft as his advisor.[1]",133
Bresenham,0,"Bresenham retired from 27 years of service at IBM as a Senior Technical Staff Member in 1987. He taught for 16 years at Winthrop University and has nine patents.[1] He has four children.[citation needed] Bresenham's line algorithm, developed in 1962, is his most well-known innovation. It determines which points on a 2-dimensional raster should be plotted in order to form a straight line between two given points, and is commonly used to draw lines on a computer screen. It is one of the earliest algorithms discovered in the field of",0
Brin,0,"Sergey Mikhailovich Brin was born on August 21, 1973, in Moscow in the Soviet Union,[4] to Russian Jewish parents,[5] Mikhail and Eugenia Brin, both graduates of Moscow State University (MSU).[6] His father is a retired mathematics professor at the University of Maryland, and his mother is a researcher at NASA's Goddard Space Flight Center.[7][8] The Brin family lived in a three-room apartment in central Moscow, which they also shared with Sergey's paternal grandmother.[7] In 1977, after his father returned from a mathematics conference in Warsaw, Poland, Mikhail Brin announced that",15
Brown,0,"Brown received his primary and secondary school education in Delmar, New York, and then studied at the University of Pennsylvania, Moore School of Electrical Engineering where he received a B.S.E. degree in 1979 and an M.S.E. under advisor Ruzena Bajcsy in 1980.[1] In 1984, Brown was introduced to David Wheeler, who invited him to join the University of Cambridge Computer Laboratory as a doctoral candidate. In October 1986, he matriculated at St John's College, University of Cambridge, England to pursue a Ph.D. degree. His dissertation introduced the concept of Unified",14
Hansen,1,"Per Brinch Hansen was born in Frederiksberg, an enclave surrounded by Copenhagen, Denmark. His father, Jørgen Brinch Hansen, worked as a civil engineer, becoming a leading expert in soil mechanics, and later accepting a professorship at Technical University of Denmark. His mother, Elsebeth Brinch Hansen (née Ring), was the daughter of Danish composer Oluf Ring and worked as a hairdresser before marrying.[1] Brinch Hansen attended Skt. Jørgens Gymnasium and then studied electrical engineering at Technical University of Denmark where he sought an area to pursue that ""was still in its",55
Brinkkemper,0,"Brinkkemper received a BA from the University of Amsterdam in 1980 and an MSc from the Radboud University Nijmegen in 1984, both in Mathematics. In 1990 he received a PhD at the same university with his thesis Formalisation of information systems modelling, supervised by Eckhard Falkenberg and Alex Verrijn Stuart. In 1984 he became an assistant professor at the department of Informatics at the Radboud University. In 1992 he became associate professor at the University of Twente. In addition, he has been a process architect at Baan from 1996 to",296
Brooks,5,"Born on April 19, 1931, in Durham, North Carolina,[7] he attended Duke University, graduating in 1953 with a Bachelor of Science degree in physics, and he received a Ph.D. in applied mathematics (computer science) from Harvard University in 1956, supervised by Howard Aiken.[2] Brooks served as the graduate teaching assistant for Ken Iverson at Harvard's graduate program in ""automatic data processing"", the first such program in the world.[8][9][10]",90
Burnett,0,"Burnett was born in 1949, and is originally from Springfield, Illinois. She studied at Miami University of Ohio from 1967 to 1970, brought there in part by their newly established program in computer science but eventually majoring in mathematics. After graduating, she became a software engineer for Procter & Gamble, the first women hired in a management position at their Ivorydale factory and research center in Cincinnati, Ohio. She left soon after, following her husband to Santa Fe, New Mexico, where she started her own business, and then to Lawrence,",262
Butler,0,"Butler was born in Ireland. He received his bachelor's degree in computer science from Trinity College, Dublin in 1988. He then took an MSc (1989) and DPhil (1992) at the Programming Research Group of the University of Oxford,[1] working in the area of communicating sequential processes. He then worked for Broadcom in Dublin and at Åbo Akademi University in Turku, Finland with Ralph-Johan Back on refinement calculus. He joined the University of Southampton in 1995 as a lecturer, rising to reader in 2000 and then professor in the same year.",20
Gil,0,"She received her degree in mathematics from the ULL in 1990, and her Ph.D. from the same university in 1995. She is a professor in Computer Science and Artificial Intelligence since 2015. Her research focuses on cryptography, cryptanalysis, cryptographic protocols, wireless communications security, pseudorandom number generator, strong authentication, and secure mobile applications.[1][2] Since 1998, she coordinates the CryptULL group of research in cryptology at ULL.[3] She has participated in 47 national and international research projects.[4] Caballero is a founding member of the Spanish Network of Excellence on Cybersecurity Research.[3] She",214
Camp,1,"Camp received a B.A. in Mathematics from Kalamazoo College in 1987. She received a M.S. in Computer Science from Michigan State University in 1989 and a Ph.D in Computer Science from The College of William & Mary in 1993.[2] She then joined the Department of Computer Science at the University of Alabama as an assistant professor in 1993. In 1998 she moved to the Colorado School of Mines as an assistant professor, and was then promoted to associate professor in 2000 and to professor in 2007. In 2010–11, she was",117
Campbell-Kelly,0,Campell-Kelly was educated at Sunderland Polytechnic where he was awarded a PhD in 1980 on the Foundations of computer programming in Britain 1945–1955.[6],44
Canion,0,"A native of Houston, Canion graduated from the University of Houston in 1966 and 1968 with bachelor's and master's degrees in electrical engineering with an emphasis on computer science.[3] Before co-founding Compaq in 1982, Canion, Jim Harris and Bill Murto had been senior managers at Texas Instruments. The three co-founders received backing from venture capitalist Benjamin M. Rosen, who became chairman of the board of Compaq.[1] During Canion's tenure as Compaq's CEO, the company set records for the highest first-year sales in the history of American business and reached the",0
Cardelli,3,"He was born in Montecatini Terme, Italy. He attended the University of Pisa[7] before receiving his PhD from the University of Edinburgh in 1982[15] for research supervised by Gordon Plotkin.[4]",234
Carmack,0,"Carmack was born in Shawnee Mission, Kansas,[1] the son of local television news reporter Stan Carmack. He grew up in the Kansas City metropolitan area, where he became interested in computers at an early age. He attended Shawnee Mission East High School in Prairie Village, Kansas and Raytown South High School in nearby Raytown, Missouri.[7] Carmack was introduced to video games with the 1978 shoot 'em up game Space Invaders in the arcades during a summer vacation as a child. The 1980 maze chase arcade game Pac-Man also left a",1
Caspersen,10,"Michael was born in Svendborg, Denmark. He went to Nordre Skole for primary and lower secondary school and to Svendborg Statsgymnasium for upper secondary school. He earned an M.Sc. in computer science from Aarhus University.[11] At Aarhus University, Michael was exposed to world-class computing education; new ideas of programming methodology developed by Dijkstra found their way into the first-year course, as did relational algebra and the semantics of programs. This educational experience had a profound impact on Michael's perspective on computing and devotion to computer science education, leading to his",62
Cailliau,0,"Cailliau was born in Tongeren, Belgium. In 1958 he moved with his parents to Antwerp. After secondary school he graduated from Ghent University in 1969 as civil engineer in electrical and mechanical engineering (Dutch: Burgerlijk Werktuigkundig en Elektrotechnisch ingenieur). He also has an MSc from the University of Michigan in Computer, Information and Control Engineering, 1972.[4] During his military service in the Belgian Army, he maintained Fortran programs to simulate troop movements.[5][4] In December 1974 he started working at CERN as a Fellow in the Proton Synchrotron (PS) division, participating",13
Chen,4,"Born 1947 in Taichung, Taiwan,[1] Peter Chen received a B.S. in electrical engineering in 1968 at the National Taiwan University, and a Ph.D. in computer science/applied mathematics at Harvard University in 1973. In 1970, he worked one summer at IBM. After graduating from Harvard, he spent one year at Honeywell and a summer at Digital Equipment Corporation. From 1974 to 1978 Chen was an assistant professor at the MIT Sloan School of Management. From 1978 to 1983 he was an associate professor at the University of California, Los Angeles (UCLA",26
Chiariglione,0,"After receiving a classical high school education at the Liceo Salesiano Valsalice in Turin, he earned a master's degree in electronic engineering at the Polytechnic University of Turin in 1967, then obtained a Ph.D. degree at the University of Tokyo in 1973, where he also learned to speak Japanese. Chiariglione speaks five languages, including English and French. From March 1971 until July 2003, he was with CSELT, the corporate research center of the Telecom Italia group. His final position there was vice president, multimedia, at Telecom Italia Lab, the new",27
Chou,0,"Chou studied computer science at Stanford University with a specialization in machine learning and artificial intelligence.[4] During that time, she interned at Google and Facebook, and went on to receive a master's degree in computer science. Describing her undergraduate experience studying computer science, Chou said she felt, ""really out of place"" and less confident than her male colleagues at the beginning and took time to realize that she was outperforming most of them in coursework.[6]",0
Ciaramella,0,"Ciaramella obtained the Laurea in Electronic Engineering and the Post-Laurea in 1969 at La Sapienza University in Rome with prof. Antonio Ruberti as supervisor of his thesis. Then, he joined CSELT as a research engineer. In 1975 he patented at CSELT one of the first architecture-independent bootstrap devices that allowed the Gruppi Speciali (the first electronic Italian telephone switch and the most advanced project in Italian in the seventies[2]) to start up by pushing a single button from a ROM memory in case of failure.[3] During the 80s Ciaramella took",10
Clarke,1,"Born in Newport News, Virginia, Clarke received a B.A. degree in mathematics from the University of Virginia, Charlottesville, in 1967, an M.A. degree in mathematics from Duke University, Durham NC, in 1968, and a Ph.D. degree in Computer Science from Cornell University, Ithaca NY in 1976. After receiving his Ph.D., he taught in the Department of Computer Science at Duke University, for two years. In 1978, he moved to Harvard University, Cambridge, MA where he was an assistant professor of Computer Science in the Division of Applied Sciences. He left",322
Cocke,6,"He was born in Charlotte, North Carolina, US. He attended Duke University, where he received his bachelor's degree in mechanical engineering in 1946 and his Ph.D. in mathematics in 1956. Cocke spent his entire career as an industrial researcher for IBM, from 1956 to 1992.[citation needed] Perhaps the project where his innovations were most noted was in the IBM 801 minicomputer, where his realization that matching the design of the architecture's instruction set to the relatively simple instructions actually emitted by compilers could allow high performance at a low cost.",24
Codd,2,"Edgar Frank Codd was born in Fortuneswell, on the Isle of Portland in Dorset, England.[7] After attending Poole Grammar School, he studied mathematics and chemistry at Exeter College, Oxford, before serving as a pilot in the RAF Coastal Command during the Second World War, flying Sunderlands.[8] In 1948, he moved to New York to work for IBM as a mathematical programmer.[9] Codd first worked for the company’s Selective Sequence Electronic (SSEC) project and was later involved in the development of IBM 701 and 702.[9] In 1953, angered by Senator Joseph",55
Cohen,0,"In Belo Horizonte, Cohen attended the Engineering School of the State University of Minas Geraes. He graduated with a degree in Civil Engineering and a medal for having attained the best grades awarded in the preceding several years. Shortly after his graduation, Cohen was granted a Brazilian government scholarship for pursuing graduate studies in the USA. At that time, Cohen decided to become a structural engineer. In the mid 1950s Cohen attended the Master’s program at the University of Florida, Gainesville. Cohen continued graduate study at the University of Illinois",63
Colton,0,"Born in Nottingham, Colton graduated from the University of Durham in 1994 with a BSc degree in Mathematics. After a year spent as a programmer at a software company, he studied at the University of Liverpool, where he gained an MSc in Pure Mathematics in 1996. In 2000 he finished his PhD in Artificial Intelligence at the University of Edinburgh, having been supervised by Alan Bundy and Toby Walsh.",152
Comer,0,"Comer holds a BS in Mathematics and Physics from Houghton College earned in 1971 and a PhD in Computer Science from Pennsylvania State University earned in 1976. He is a Distinguished Professor of Computer Science and professor of electrical and computer engineering at Purdue University in the US. Beginning in the late 1970s he started his continuing research into TCP/IP, which has earned him international fame in the field of Computer Science and computer networking.",82
Conway,4,"Conway was born on December 12, 1931, in Milwaukee, Wisconsin.[20] He grew up in that state and attended Whitefish Bay High School in the Milwaukee County village of that name.[20] He was awarded a John McMullen Regional Scholarship for the study of engineering.[21] He arrived at Cornell University as a freshman in 1949.[22] Within the Sibley School of Mechanical Engineering,[20] he embarked upon a five-year program of study.[22] While an undergraduate he was an officer of the university's chapter of the Alpha Delta Phi fraternity.[23] He participated in the Cornell",18
Cook,9,"Cook received his bachelor's degree in 1961 from the University of Michigan, and his master's degree and PhD from Harvard University, respectively in 1962 and 1966, from the Mathematics Department.[2] He joined the University of California, Berkeley, mathematics department in 1966 as an assistant professor, and stayed there until 1970 when he was denied reappointment. In a speech celebrating the 30th anniversary of the Berkeley electrical engineering and computer sciences department, fellow Turing Award winner and Berkeley professor Richard Karp said that, ""It is to our everlasting shame that we",6
Cristianini,2,"Cristianini holds a degree in physics from the University of Trieste, a Master in computational intelligence from the University of London and a PhD from the University of Bristol.[2] Previously he has been a professor of Artificial Intelligence at the University of Bristol, an associate professor at the University of California, Davis, and held visiting positions at other universities.[3]",146
Crowcroft,2,"Crowcroft was educated at Westminster School[11] and graduated with a Bachelor of Arts degree in physics in 1979 from the University of Cambridge where he was an undergraduate student of Trinity College, Cambridge. He then gained a Master of Science degree in computing in 1981 and PhD in 1993,[12] both from University College London.",556
Croft,0,"Croft earned a bachelor's degree with honors in 1973 and a master's degree in computer science in 1974 from Monash University in Melbourne, Australia. He earned his Ph.D in computer science from the University of Cambridge in 1979 and joined the University of Massachusetts, Amherst faculty later that year.",455
Dahl,0,"Dahl grew up in San Diego, California. His mother bought him an Apple IIc when he was six years old, one of his first experiences with technology. Dahl attended a community college in San Diego and later transferred into UC San Diego where he studied mathematics. He went on to attend grad school for Mathematics at the University of Rochester where he studied algebraic topology, which he found ""very abstract and beautiful"" for a couple of years but later got bored of it because ""it was not so applicable to",4
